"author/canMediaTag","author/coverPicture","author/createdAt","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/0","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/expanded_url","author/entities/description/urls/1/indices/0","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/display_url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/display_url","author/entities/url/urls/0/expanded_url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/favouritesCount","author/followers","author/hasCustomTimelines","author/id","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/profilePicture","author/status","author/statusesCount","author/type","author/userName","text","likeCount"
"true","https://pbs.twimg.com/profile_banners/85385094/1644509773","Mon Oct 26 18:55:18 +0000 2009",,,,,,,,,,,,,,,,"KMWorld.com","http://www.KMWorld.com","0","23","82","4352","false","85385094","false","false","","2271","https://pbs.twimg.com/profile_images/1279876739/KMWlogo_Stacked__normal.jpg","","10439","user","KMWorldMagazine","Scoop Analytics backed by $3.5M to democratize data-driven decision making with advanced spreadsheet tech https://t.co/gcOuORNKQK","0"
"true","https://pbs.twimg.com/profile_banners/15234886/1716922455","Wed Jun 25 18:40:03 +0000 2008",,,,,,,,,,,,,,,,"bitly.is/m/Possibitlyti…","https://bitly.is/m/Possibitlyties","0","23","9058","67331","true","15234886","false","false","","2158","https://pbs.twimg.com/profile_images/1782836871803944960/qJ5Styf6_normal.jpg","","23696","user","Bitly","Landing your campaigns where you want them to. 

Join our next Customer Convo TOMORROW starring the all-new Bitly Pages.

Sign up ---&gt; https://t.co/RnIlP4J1Up https://t.co/uvv7vK1BAl","2"
"true","https://pbs.twimg.com/profile_banners/20641938/1677691311","Thu Feb 12 00:07:44 +0000 2009",,,,,,,,,,,,,,,,"hitachivantara.com/en-us/products…","https://www.hitachivantara.com/en-us/products/pentaho-plus-platform.html","0","23","2485","17309","true","20641938","false","false","Santa Clara, CA","3515","https://pbs.twimg.com/profile_images/1730318795414134785/Os_GbHzi_normal.jpg","","11571","user","Pentaho","📢 Today, our U.S. Pentaho offices are closed to give our employees the opportunity to reflect on Juneteenth in their own meaningful ways. The significance of this day cannot be overstated, and we encourage everyone to take a moment to contemplate its profound meaning.","0"
"true","https://pbs.twimg.com/profile_banners/75079616/1619195886","Thu Sep 17 18:30:25 +0000 2009","ifttt.com/join","http://ifttt.com/join","102","125","https://t.co/p9vnrjhyyI","help.ifttt.com","http://help.ifttt.com","139","162","https://t.co/hXsOzH7yNP",,,,,,"lnk.bio/ifttt","https://lnk.bio/ifttt","0","23","5636","153498","true","75079616","false","false","San Francisco, CA","2585","https://pbs.twimg.com/profile_images/1493350091368718337/6v_nbYpO_normal.jpg","","82555","user","IFTTT","Receive IFTTT AI responses via SMS when you ask a question on your mobile note widget. 🤖📝 https://t.co/wiM06pyH63","2"
"true","https://pbs.twimg.com/profile_banners/43889656/1695926361","Mon Jun 01 14:09:02 +0000 2009",,,,,,,,,,,,,,,,"conference-board.org","http://www.conference-board.org","0","23","1089","18165","true","43889656","false","true","www.conference-board.org","2924","https://pbs.twimg.com/profile_images/1009876596273090562/Xj3zDFw-_normal.jpg","","14605","user","Conferenceboard","RT @Conferenceboard: Join Steve Odland and guest Merel Spierings, Senior Researcher in the ESG Center, to find out how companies can naviga…","0"
"true","https://pbs.twimg.com/profile_banners/22908286/1718356645","Thu Mar 05 11:23:47 +0000 2009",,,,,,,,,,,,,,,,"denodo.com","http://www.denodo.com","0","23","10969","5625","false","22908286","false","true","Palo Alto, CA","10225","https://pbs.twimg.com/profile_images/1369575102522793985/6jQgl3TY_normal.jpg","","22124","user","denodo","Developers work hard to create #data models that address use cases. Join this #TechTalk session by Nikhil Nair of #Denodo, who will usher you into the world of Denodo #metadata promotion, providing guidelines you could follow for the best outcome possible https://t.co/1P95DFiglo","0"
"true","https://pbs.twimg.com/profile_banners/733024864353845250/1646661307","Wed May 18 20:02:01 +0000 2016","help.flourish.studio","http://help.flourish.studio","94","117","https://t.co/11sPjhQUzR",,,,,,,,,,,"flourish.studio","https://flourish.studio","0","23","1641","16771","true","733024864353845250","false","true","London","803","https://pbs.twimg.com/profile_images/927560296721453059/NwEYJgOE_normal.jpg","","1641","user","f_l_o_u_r_i_s_h","Transform your election #data with Flourish!✨

Check out three must-have maps for visualizing #election results. From voter turnout to regional trends, Flourish makes creating stunning election graphics effortless.

Click here to watch the full webinar: https://t.co/ikrRTYjKz0 https://t.co/8WjDmbfrPC","7"
"true","https://pbs.twimg.com/profile_banners/75079616/1619195886","Thu Sep 17 18:30:25 +0000 2009","ifttt.com/join","http://ifttt.com/join","102","125","https://t.co/p9vnrjhyyI","help.ifttt.com","http://help.ifttt.com","139","162","https://t.co/hXsOzH7yNP",,,,,,"lnk.bio/ifttt","https://lnk.bio/ifttt","0","23","5636","153498","true","75079616","false","false","San Francisco, CA","2585","https://pbs.twimg.com/profile_images/1493350091368718337/6v_nbYpO_normal.jpg","","82555","user","IFTTT","Easily create Todoist tasks by sending an email to IFTTT. ✨ https://t.co/96YEZbzcPp","1"
"true","https://pbs.twimg.com/profile_banners/84512601/1711568947","Fri Oct 23 05:25:26 +0000 2009",,,,,,,,,,,,,,,,"elastic.co","https://www.elastic.co","0","23","3600","64682","true","84512601","false","false","Global","3455","https://pbs.twimg.com/profile_images/1686406534283329536/SqbSIkqm_normal.jpg","","9694","user","elastic","Dive into this blog to learn how to develop a custom GPT. It’s your own version of ChatGPT that retrieves custom data from Elasticsearch, which can add both current and proprietary context: https://t.co/vkgUi5m2dx

#ElasticSearchLabs #GPT #Elasticsearch","8"
"true","https://pbs.twimg.com/profile_banners/733024864353845250/1646661307","Wed May 18 20:02:01 +0000 2016","help.flourish.studio","http://help.flourish.studio","94","117","https://t.co/11sPjhQUzR",,,,,,,,,,,"flourish.studio","https://flourish.studio","0","23","1641","16771","true","733024864353845250","false","true","London","803","https://pbs.twimg.com/profile_images/927560296721453059/NwEYJgOE_normal.jpg","","1641","user","f_l_o_u_r_i_s_h","RT @visualisingdata: Really looking forward to being part of this week and specifically this free event, hosted by @f_l_o_u_r_i_s_h on July…","0"
