"author/affiliatesHighlightedLabel/label/badge/url","author/affiliatesHighlightedLabel/label/description","author/affiliatesHighlightedLabel/label/url/urlType","author/affiliatesHighlightedLabel/label/userLabelDisplayType","author/canDm","author/coverPicture","author/description","author/entities/description/urls/0/display_url","author/entities/description/urls/0/expanded_url","author/entities/description/urls/0/indices/1","author/entities/description/urls/0/url","author/entities/description/urls/1/display_url","author/entities/description/urls/1/indices/1","author/entities/description/urls/1/url","author/entities/description/urls/2/expanded_url","author/entities/description/urls/2/indices/0","author/entities/description/urls/2/indices/1","author/entities/description/urls/2/url","author/entities/url/urls/0/indices/0","author/entities/url/urls/0/indices/1","author/entities/url/urls/0/url","author/favouritesCount","author/followers","author/following","author/id","author/isTranslator","author/isVerified","author/location","author/mediaCount","author/name","author/profilePicture","author/status","author/twitterUrl","author/url","author/userName","text","likeCount"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906058","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@JTLonsdale Exactly","1400"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906058","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@abidlabs 😂","518"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906058","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@WholeMarsBlog Yeah","1500"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906058","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@darren_stallcup !!","1354"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906156","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@cb_doge Very much so","1340"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906156","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@iam_smx Yes","827"
"https://pbs.twimg.com/profile_images/1683899100922511378/5lY42eHs_bigger.jpg","X","DeepLink","Badge","false","https://pbs.twimg.com/profile_banners/44196397/1690621312","",,,,,,,,,,,,,,,"56309","187906156","637","44196397","false","true","","2261","Elon Musk","https://pbs.twimg.com/profile_images/1780044485541699584/p78MCn3B_normal.jpg","","https://twitter.com/elonmusk","https://x.com/elonmusk","elonmusk","@Charalanahzard True","773"
,,,,"true","https://pbs.twimg.com/profile_banners/3510729917/1708604708","A full-stack web scraping and browser automation platform. 🛒 https://t.co/5bckPbfUDz 🌟 https://t.co/rRKDDTr71D 📺 https://t.co/2nSklDztMo","apify.com/store","https://apify.com/store","84","https://t.co/5bckPbfUDz","github.com/apify/crawlee","110","https://t.co/rRKDDTr71D","http://youtube.com/apify","113","136","https://t.co/2nSklDztMo","0","23","https://t.co/VWktFqWjsp","682","2623","215","3510729917","false","true","The Interwebz","400","Apify","https://pbs.twimg.com/profile_images/1760641872010080256/UiVECDi9_normal.jpg","","https://twitter.com/apify","https://x.com/apify","apify","Open-source REST API for scraping websites 🤩

Have you tried our cheaper alternative to other web scraping platforms? Just send a URL and receive fully-rendered HTML content 🚀

Explore SuperScraper API now on Apify Store 👇

🔗 https://t.co/MSnLelWsys https://t.co/kP2vPluudU","0"
,,,,"true","https://pbs.twimg.com/profile_banners/3510729917/1708604708","A full-stack web scraping and browser automation platform. 🛒 https://t.co/5bckPbfUDz 🌟 https://t.co/rRKDDTr71D 📺 https://t.co/2nSklDztMo","apify.com/store","https://apify.com/store","84","https://t.co/5bckPbfUDz","github.com/apify/crawlee","110","https://t.co/rRKDDTr71D","http://youtube.com/apify","113","136","https://t.co/2nSklDztMo","0","23","https://t.co/VWktFqWjsp","682","2623","215","3510729917","false","true","The Interwebz","400","Apify","https://pbs.twimg.com/profile_images/1760641872010080256/UiVECDi9_normal.jpg","","https://twitter.com/apify","https://x.com/apify","apify","RT @rafal_makes: @Shpigford try Apify, its basically a platform for building scrapers and has a ton of community wrappers built for specifi…","48"
,,,,"true","https://pbs.twimg.com/profile_banners/3510729917/1708604708","A full-stack web scraping and browser automation platform. 🛒 https://t.co/5bckPbfUDz 🌟 https://t.co/rRKDDTr71D 📺 https://t.co/2nSklDztMo","apify.com/store","https://apify.com/store","84","https://t.co/5bckPbfUDz","github.com/apify/crawlee","110","https://t.co/rRKDDTr71D","http://youtube.com/apify","113","136","https://t.co/2nSklDztMo","0","23","https://t.co/VWktFqWjsp","682","2623","215","3510729917","false","true","The Interwebz","400","Apify","https://pbs.twimg.com/profile_images/1760641872010080256/UiVECDi9_normal.jpg","","https://twitter.com/apify","https://x.com/apify","apify","Want to scrape and monitor accommodation prices on Booking? 🤔

Booking Scraper on Apify Store allows you to extract data based on your destination or a specific search URL 🔎 

Watch our new step-by-step video guide on how to set up the Actor 👇
https://t.co/k14dodpKy6","2"
